Name,State,OS,vCPU,Memory,TotalSpace,DriveCount
acs01-k,PoweredOn,CentOS 7 (64-bit),2,8192,24,1
acs01-p,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
acs01-t,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
acs02-p,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
acs02-t,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
acspak01-k,PoweredOn,CentOS 7 (64-bit),2,16384,32,1
acspak01-p,PoweredOn,CentOS 4/5 or later (64-bit),8,65536,128,1
acspak01-t,PoweredOn,CentOS 4/5 or later (64-bit),2,32768,48,1
acspak02-p,PoweredOn,CentOS 4/5 or later (64-bit),8,65536,144,1
acspak02-t,PoweredOn,CentOS 4/5 or later (64-bit),2,16384,32,1
amq01-V2V,PoweredOn,CentOS 4/5 or later (64-bit),4,4096,28,1
amq02-V2V,PoweredOn,CentOS 4/5 or later (64-bit),4,4096,28,1
andromeda-V2V,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
angus-V2V,PoweredOn,Red Hat Fedora (64-bit),2,4096,28,1
anr01-a,PoweredOn,Microsoft Windows Server 2012 (64-bit),4,16384,403,1
anrsolr01-a,PoweredOn,CentOS 4/5 or later (64-bit),4,32768,1040,1
anrsolr01-i,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,536,1
anrsolr01-p,PoweredOn,CentOS 7 (64-bit),4,32768,1072,1
anrsolr02-a,PoweredOn,CentOS 4/5 or later (64-bit),4,32768,816,1
apache01-p,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
athens01-c,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
athens01-p,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
athens02-p,PoweredOn,CentOS 6 (64-bit),2,8192,16,1
atlassian01-V2V,PoweredOn,CentOS 4/5 or later (64-bit),2,4096,28,1
atlassian02-V2V,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,32,1
balancer-P2V,PoweredOn,CentOS 4/5 or later (64-bit),4,4096,28,1
bauth01-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bauth01-t,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bauth02-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bauth02-t,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bauthbop01-m,PoweredOn,CentOS 7 (64-bit),2,8192,24,1
bauthbop02-m,PoweredOn,CentOS 7 (64-bit),2,8192,24,1
bbop01-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bbop01-t,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bbop02-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bbop02-t,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
beni-p,PoweredOn,Microsoft Windows Server 2012 (64-bit),8,65536,1217,1
beni-t,PoweredOn,Microsoft Windows Server 2012 (64-bit),2,8192,128,1
bmc01-m,PoweredOn,CentOS 7 (64-bit),2,8192,24,1
bmc01-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bmc01-t,PoweredOn,CentOS 6 (64-bit),2,8192,104,1
bmc02-m,PoweredOn,CentOS 7 (64-bit),2,8192,24,1
bmc02-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bmc02-t,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bmongod01-m,PoweredOn,CentOS 7 (64-bit),2,8192,224,1
bmongod01-p,PoweredOn,CentOS 6 (64-bit),4,16384,248,1
bmongod01-t,PoweredOn,CentOS 6 (64-bit),2,8192,240,1
bmongod02-m,PoweredOn,CentOS 7 (64-bit),2,8192,224,1
bmongod02-p,PoweredOn,CentOS 6 (64-bit),4,16384,232,1
bmongod02-t,PoweredOn,CentOS 6 (64-bit),2,8192,240,1
bmongod03-p,PoweredOn,CentOS 6 (64-bit),4,16384,248,1
bmongod03-t,PoweredOn,CentOS 6 (64-bit),2,8192,224,1
booksvc01-p,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
booksvc01-t,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
booksvc02-p,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
booksvc02-t,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
bops01-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bops01-t,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bops02-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bops02-t,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bpub01-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bpub01-t,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bpub02-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bpub02-t,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bpubops01-m,PoweredOn,CentOS 7 (64-bit),2,8192,24,1
bpubops02-m,PoweredOn,CentOS 7 (64-bit),2,8192,24,1
bstatic01-m,PoweredOn,CentOS 7 (64-bit),4,8192,16,1
bstatic01-p,PoweredOn,CentOS 6 (64-bit),4,8192,32,1
bstatic01-t,PoweredOn,CentOS 6 (64-bit),4,8192,40,1
bstatic02-m,PoweredOn,CentOS 7 (64-bit),4,8192,16,1
bstatic02-p,PoweredOn,CentOS 6 (64-bit),4,8192,40,1
bstatic02-t,PoweredOn,CentOS 6 (64-bit),4,8192,40,1
bswagger01-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bswagger01-t,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bswagger02-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
bswagger02-t,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
btools01-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
btools01-t,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
btools02-p,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
btools02-t,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
btoolsswagger01-m,PoweredOn,CentOS 7 (64-bit),2,8192,16,1
btoolsswagger02-m,PoweredOn,CentOS 7 (64-bit),2,8192,24,1
bucket01-a-V2V,PoweredOn,Red Hat Fedora (64-bit),2,4096,28,1
bucket01-c-V2V,PoweredOn,Red Hat Fedora (64-bit),2,4096,28,1
bucket01-i-V2V,PoweredOn,Red Hat Fedora (64-bit),2,4096,28,1
build-box01,PoweredOn,CentOS 4/5 or later (64-bit),2,4096,737,1
build-box02,PoweredOn,CentOS 7 (64-bit),2,8192,24,1
build-ebl01,PoweredOn,Microsoft Windows Server 2012 (64-bit),2,16384,321,1
build-el6,PoweredOn,CentOS 4/5 or later (64-bit),4,16384,32,1
build-el7,PoweredOn,CentOS 7 (64-bit),4,16384,32,1
centauri-V2V,PoweredOn,CentOS 4/5 or later (64-bit),4,8192,24,1
centaurus-V2V,PoweredOn,CentOS 4/5 or later (64-bit),4,8192,32,1
chef01-a,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,132,1
cloudchomp-cvie,PoweredOn,,1,4096,34,1
cmf01-m,PoweredOn,CentOS 7 (64-bit),2,16384,32,1
cmf01-p,PoweredOn,CentOS 6 (64-bit),4,32768,64,1
cmf01-t,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
cmx01-p,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
cmx01-t,PoweredOn,CentOS 6 (64-bit),2,8192,16,1
cmx02-p,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
cmx02-t,PoweredOn,CentOS 6 (64-bit),2,8192,16,1
cns01-a-V2V,PoweredOn,Red Hat Fedora (64-bit),4,8192,32,1
cns01-c-V2V,PoweredOn,Red Hat Fedora (64-bit),2,4096,28,1
cns01-i-v2V,PoweredOn,Red Hat Fedora (64-bit),2,4096,28,1
collection01-a-V2V,PoweredOn,Red Hat Fedora (64-bit),2,8192,24,1
collection01-c-V2V,PoweredOn,Red Hat Fedora (64-bit),2,4096,28,1
collection01-i-V2V,PoweredOn,Red Hat Fedora (64-bit),2,4096,28,1
coredeployment01,PoweredOn,CentOS 7 (64-bit),2,8192,24,1
cstools01-a-V2V,PoweredOn,Red Hat Fedora (64-bit),4,16384,40,1
cstools01-c-V2V,PoweredOn,Red Hat Fedora (64-bit),2,4096,28,1
cstools01-i-V2V,PoweredOn,Red Hat Fedora (64-bit),2,6144,30,1
cvie-test,PoweredOn,,4,32768,112,1
d42-rc.ebrary.com,PoweredOn,,2,4096,36,1
danube01-p,PoweredOn,Microsoft Windows Server 2016 (64-bit),4,32768,4225,1
danube-p,PoweredOn,Microsoft Windows Server 2012 (64-bit),4,32768,102228,1
danube-t,PoweredOn,Microsoft Windows Server 2012 (64-bit),2,24576,7255,1
db01-m,PoweredOn,Microsoft Windows Server 2012 (64-bit),2,32768,2177,1
db01-t,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,897,1
db02-m,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,124,1
db02-p,PoweredOn,Microsoft Windows Server 2016 (64-bit),4,49152,2737,1
db02-t,PoweredOn,Microsoft Windows Server 2012 (64-bit),2,8192,3712,1
db03-p,PoweredOn,Microsoft Windows Server 2016 (64-bit),4,65536,7553,1
dc01,PoweredOn,Microsoft Windows Server 2008 R2 (64-bit),2,8192,129,1
dc02,PoweredOn,Microsoft Windows Server 2008 R2 (64-bit),2,8192,128,1
dc03,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,64,1
dc04,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,72,1
dcp01-k,PoweredOn,CentOS 7 (64-bit),2,8192,24,1
dcp01-m,PoweredOn,CentOS 4/5 or later (64-bit),2,16384,32,1
dcp02-m,PoweredOn,CentOS 4/5 or later (64-bit),2,16384,32,1
dcpauth01-p,PoweredOn,CentOS 4/5 or later (64-bit),4,8192,24,1
dcpauth01-t,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,16,1
dcpauth02-p,PoweredOn,CentOS 4/5 or later (64-bit),4,8192,24,1
dcpauth02-t,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,16,1
dcpauth03-p,PoweredOn,CentOS 6 (64-bit),4,8192,24,1
dcpauth04-p,PoweredOn,CentOS 6 (64-bit),4,8192,24,1
dcpepubauth01-t,PoweredOn,CentOS 6 (64-bit),2,8192,16,1
dcpepubreader01-t,PoweredOn,CentOS 6 (64-bit),2,8192,16,1
dcpmc01-k,PoweredOn,CentOS 7 (64-bit),2,8192,24,1
dcpmc01-p,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dcpmc01-t,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dcpmc02-p,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dcpmc02-t,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dcpreader01-p,PoweredOn,CentOS 4/5 or later (64-bit),4,16384,64,1
dcpreader01-t,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,16,1
dcpreader02-p,PoweredOn,CentOS 4/5 or later (64-bit),4,16384,64,1
dcpreader02-t,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dcpreader03-p,PoweredOn,CentOS 6 (64-bit),4,16384,64,1
dcpreader04-p,PoweredOn,CentOS 6 (64-bit),4,16384,48,1
dcpreader05-p,PoweredOn,CentOS 6 (64-bit),4,16384,48,1
dcpreader06-p,PoweredOn,CentOS 6 (64-bit),4,16384,64,1
dcptools01-p,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,16,1
dcptools01-t,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dev-aakl01,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,192,1
dev-aayyagar01,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,132,1
dev-abanh01,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,132,1
dev-abanh02,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-acc01,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-acs01,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dev-acspak01,PoweredOn,CentOS 4/5 or later (64-bit),2,16384,32,1
dev-adhrolia01,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,16384,140,1
dev-adhrolia02,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-adhrolia03,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-aharamas01,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,260,1
dev-ajangam01,PoweredOn,CentOS 6 (64-bit),2,8192,34,1
dev-ajangam02,PoweredOn,Microsoft Windows Server 2012 (64-bit),2,16384,136,1
dev-anrsolr01,PoweredOn,CentOS 4/5 or later (64-bit),4,32768,560,1
dev-anrteam01,PoweredOn,Microsoft Windows Server 2016 (64-bit),4,16384,400,1
dev-athens01,PoweredOn,CentOS 6 (64-bit),4,12288,28,1
dev-bauth01,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dev-bauth02,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-bbop01,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dev-bbop02,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-beni01,PoweredOn,Microsoft Windows Server 2012 (64-bit),4,8192,2110,1
dev-bmc02,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dev-bmongod01,PoweredOn,CentOS 6 (64-bit),2,8192,224,1
dev-bmongod02,PoweredOn,CentOS 6 (64-bit),2,8192,224,1
dev-booksvc01,PoweredOn,CentOS 6 (64-bit),2,8192,29,1
dev-booksvc02,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-bops01,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dev-bops02,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-bpub01,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dev-bpub02,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-bstatic01,PoweredOn,CentOS 4/5 or later (64-bit),4,8192,24,1
dev-bstatic02,PoweredOn,CentOS 6 (64-bit),4,8192,24,1
dev-bswagger01,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dev-bswagger02,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-btools01,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,384,1
dev-btools02,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
devci-core,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
devci-dcp,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
devci-mc,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
devci-mongo,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
devci-rmq,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
devci-solr,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dev-cmf01,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-cmx01,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
dev-cmx02,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-consol01,PoweredOn,,2,16384,1056,1
dev-csolr01,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,216,1
dev-csolr02,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,216,1
dev-danube,PoweredOn,Microsoft Windows Server 2012 (64-bit),2,8192,6281,1
dev-db01,PoweredOn,Microsoft Windows Server 2016 (64-bit),4,16384,897,1
dev-db02,PoweredOn,Microsoft Windows Server 2016 (64-bit),4,49152,2993,1
dev-dcpauth01,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-dcpauth02,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dev-dcpmc01,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dev-dcpmc02,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dev-dcpreader01,PoweredOn,CentOS 6 (64-bit),2,8192,16,1
dev-dcpreader02,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dev-dcptools01,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,32,1
dev-dkoul01,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,40,1
dev-dkoul02,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,40,1
dev-dmasales01,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,216,1
dev-dmiao01,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,132,1
dev-don01,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,2180,1
dev-don02,PoweredOn,Microsoft Windows Server 2016 (64-bit),4,86016,2947,1
dev-don03,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,132,1
dev-don04,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,132,1
dev-elk01,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-ezproxy01,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dev-fm01,PoweredOn,Microsoft Windows Server 2012 (64-bit),2,8192,201,1
dev-fs01,PoweredOn,Microsoft Windows Server 2012 (64-bit),2,8192,4230,1
dev-ftp01,PoweredOn,CentOS 6 (64-bit),2,8192,56,1
dev-grande01,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,1665,1
dev-grande02,PoweredOn,Microsoft Windows Server 2016 (64-bit),4,65536,3036,1
dev-grande03,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,124,1
dev-grande04,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,132,1
dev-ha01,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-ha02,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
Device42,PoweredOn,,2,4096,55,1
dev-infra01,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,104,1
dev-jwyrembe01,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,129,1
dev-jwyrembe02,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-mc01,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dev-mc02,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dev-mc03,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-mc04,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-mcr01,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-mcr02,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-mekong,PoweredOn,Microsoft Windows Server 2012 (64-bit),2,12288,388,1
dev-mjaiswa101,PoweredOn,Microsoft Windows Server 2016 (64-bit),4,16384,252,1
dev-mnorris01,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
dev-mnorris02,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-mongoc01,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,40,1
dev-mongod01,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,280,1
dev-mongod02,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,280,1
dev-mongod03,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,280,1
dev-mongod04,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,280,1
dev-mongod05,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,280,1
dev-mongod06,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,280,1
dev-mongod07,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,280,1
dev-mongod08,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,280,1
dev-mongod09,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,280,1
dev-mongod10,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,280,1
dev-mongos01,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,40,1
dev-mswanson01.,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,129,1
dev-mswanson02,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-mysql01,PoweredOn,Oracle Linux 4/5 or later (64-bit),2,8192,1064,1
dev-mysql02,PoweredOn,Oracle Linux 4/5 or later (64-bit),2,8192,1064,1
dev-nfs01,PoweredOn,CentOS 6 (64-bit),2,8192,3096,1
dev-ngrewal01,PoweredOn,CentOS 6 (64-bit),2,16384,64,1
dev-nile,PoweredOn,Microsoft Windows Server 2012 (64-bit),2,8192,256,1
dev-ntripath01,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-oaamq01,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-oaauto01,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-oaauto02,PoweredOn,Microsoft Windows Server 2012 (64-bit),2,8192,192,1
dev-oaauto03,PoweredOn,Microsoft Windows Server 2012 (64-bit),2,8192,64,1
dev-oacis01,PoweredOn,CentOS 6 (64-bit),16,262144,19861,1
dev-oacis02,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-oars01,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-oars02,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-oasearch01,PoweredOn,CentOS 6 (64-bit),2,8192,324,1
dev-oasearch02,PoweredOn,CentOS 6 (64-bit),2,8192,324,1
dev-oasearch03,PoweredOn,CentOS 6 (64-bit),2,8192,324,1
dev-oasolr01,PoweredOn,CentOS 6 (64-bit),2,8192,528,1
dev-oasolr02,PoweredOn,CentOS 6 (64-bit),2,8192,528,1
dev-oasonar01,PoweredOn,CentOS 6 (64-bit),4,16384,160,1
dev-oawebapp01,PoweredOn,Microsoft Windows Server 2012 (64-bit),2,8192,64,1
dev-oawebapp02,PoweredOn,Microsoft Windows Server 2012 (64-bit),2,8192,64,1
dev-oaz395001,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-orange01,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,1673,1
dev-orange02,PoweredOn,Microsoft Windows Server 2016 (64-bit),4,65536,3035,1
dev-orange03,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,132,1
dev-orange04,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,132,1
dev-pearl,PoweredOn,Microsoft Windows Server 2012 (64-bit),2,12288,640,1
dev-pif01,PoweredOn,CentOS 6 (64-bit),2,8192,40,1
dev-pnidadav01,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-pub01,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,16,1
dev-pubshare01,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-rasterx01,PoweredOn,CentOS 6 (64-bit),4,16384,56,1
dev-rasterx02,PoweredOn,CentOS 6 (64-bit),4,16384,56,1
dev-rasterx03,PoweredOn,CentOS 6 (64-bit),4,16384,56,1
dev-rasterx04,PoweredOn,CentOS 6 (64-bit),4,16384,64,1
dev-rbelt01,PoweredOn,CentOS 6 (64-bit),2,8192,24,1
dev-rec01,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dev-redism01,PoweredOn,CentOS 6 (64-bit),2,65536,336,1
dev-redism02,PoweredOn,CentOS 6 (64-bit),2,65536,448,1
dev-rediss01,PoweredOn,CentOS 6 (64-bit),2,65536,336,1
dev-rediss02,PoweredOn,CentOS 6 (64-bit),2,65536,336,1
dev-rep01,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dev-rep02,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dev-rmq01,PoweredOn,CentOS 6 (64-bit),2,4096,132,1
dev-rsync01,PoweredOn,CentOS 6 (64-bit),4,16384,16,1
dev-rwright01,PoweredOn,Microsoft Windows Server 2012 (64-bit),2,8192,64,1
dev-rwyrembe01,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,129,1
dev-salween,PoweredOn,Microsoft Windows Server 2012 (64-bit),4,8192,2191,1
dev-sgorski01,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,260,1
dev-shibb01,PoweredOn,CentOS 6 (64-bit),2,8192,32,1
dev-sliu01,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,132,1
dev-smeduri01,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dev-solr01,PoweredOn,CentOS 6 (64-bit),2,8192,272,1
dev-solr02,PoweredOn,CentOS 6 (64-bit),2,8192,272,1
dev-solr03,PoweredOn,CentOS 6 (64-bit),2,8192,288,1
dev-solr04,PoweredOn,CentOS 6 (64-bit),2,8192,288,1
dev-solr05,PoweredOn,CentOS 6 (64-bit),2,8192,288,1
dev-solr06,PoweredOn,CentOS 6 (64-bit),2,8192,288,1
dev-solr07,PoweredOn,CentOS 6 (64-bit),2,8192,288,1
dev-solr08,PoweredOn,CentOS 6 (64-bit),2,8192,288,1
dev-solr09,PoweredOn,CentOS 6 (64-bit),2,8192,288,1
dev-solr10,PoweredOn,CentOS 6 (64-bit),2,8192,288,1
dev-solr11,PoweredOn,CentOS 6 (64-bit),4,16384,288,1
dev-solr12,PoweredOn,CentOS 6 (64-bit),4,16384,288,1
dev-solr13,PoweredOn,CentOS 6 (64-bit),4,16384,288,1
dev-solr14,PoweredOn,CentOS 6 (64-bit),4,16384,288,1
dev-solr21,PoweredOn,CentOS 6 (64-bit),2,8192,288,1
dev-solr22,PoweredOn,CentOS 6 (64-bit),2,8192,288,1
dev-solr23,PoweredOn,CentOS 6 (64-bit),2,8192,272,1
dev-solr24,PoweredOn,CentOS 6 (64-bit),2,8192,288,1
dev-solr25,PoweredOn,CentOS 6 (64-bit),2,8192,288,1
dev-solr26,PoweredOn,CentOS 6 (64-bit),2,8192,288,1
dev-solr27,PoweredOn,CentOS 6 (64-bit),2,8192,288,1
dev-solr28,PoweredOn,CentOS 6 (64-bit),2,8192,288,1
dev-solr29,PoweredOn,,2,8192,24,1
dev-solr30,PoweredOn,,2,8192,24,1
dev-sp01,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,265,1
dev-spandigu01,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,16384,140,1
dev-ssivaram01,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dev-sso01,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dev-sso02,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,40,1
dev-ssomc01,PoweredOn,CentOS 4/5 or later (64-bit),1,4096,20,1
dev-vbharadw01,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,124,1
dev-win01,PoweredOn,Microsoft Windows Server 2008 R2 (64-bit),4,16384,214,1
dev-ws01,PoweredOn,Microsoft Windows Server 2012 (64-bit),2,8192,192,1
dev-ws02,PoweredOn,Microsoft Windows Server 2012 (64-bit),2,8192,192,1
dev-wsconv01,PoweredOn,Microsoft Windows Server 2016 (64-bit),2,8192,137,1
dev-www01,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dev-www02,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dev-yaz01,PoweredOn,CentOS 4/5 or later (64-bit),2,4096,36,1
dev-yzou01,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
dev-yzou02,PoweredOn,CentOS 4/5 or later (64-bit),2,8192,24,1
doc01-a-V2V,PoweredOn,Red Hat Fedora (64-bit),4,16384,24,1
doc01-c-V2V,PoweredOn,Red Hat Fedora (64-bit),4,4096,28,1
doc01-i-V2V,PoweredOn,Red Hat Fedora (64-bit),2,4096,28,1
docproc01-a-V2V,PoweredOn,Red Hat Fedora (64-bit),4,16384,40,1
docproc01-c-V2V,PoweredOn,Red Hat Fedora (64-bit),4,4096,28,1
docproc01-i-V2V,PoweredOn,Red Hat Fedora (64-bit),2,8192,32,1
