Name,Powerstate,CPU,RAM,NICs,Disks,SpaceGB,OS
RHEL5_x86_64_POC_Template,poweredOff,2,8,2,2,53,Red Hat Enterprise Linux 5 (64-bit)
RHEL6_x86_64_POC_Template,poweredOff,2,8,1,2,53,Red Hat Enterprise Linux 6 (64-bit)
RHEL6_x86_64_template,poweredOff,2,4,2,2,49,Red Hat Enterprise Linux 6 (64-bit)
RHEL7.4-SRS-V1.0,poweredOff,2,2,1,1,"4,610",Red Hat Enterprise Linux 7 (64-bit)
RHEL7_x86_64_azure_v2,poweredOff,2,4,1,1,44,
RHEL7_x86_64_template,poweredOff,2,4,1,2,49,Red Hat Enterprise Linux 7 (64-bit)
sal-gw-adc-dmz,poweredOn,4,8,1,1,228,CentOS 4/5/6/7 (64-bit)
sal-gw-ddc,poweredOn,4,8,1,1,228,CentOS 4/5/6/7 (64-bit)
sal-gw-ddc-dmz,poweredOn,4,8,1,1,228,CentOS 4/5/6/7 (64-bit)
san-ddc-vmax3,poweredOn,8,20,2,8,620,SUSE Linux Enterprise 11 (64-bit)
san-esrs-ddc,poweredOn,1,4,1,1,68,SUSE Linux Enterprise 11 (64-bit)
san-sis,poweredOff,2,8,1,1,88,SUSE Linux Enterprise 11 (64-bit)
sdgs-pi01,poweredOff,1,4,1,1,54,Microsoft Windows Server 2016 (64-bit)
Server2012R2_Template,poweredOff,1,4,1,1,54,
Server2012R2_Template,poweredOff,1,4,1,1,54,Microsoft Windows Server 2012 (64-bit)
Server2012R2_Template_vRA,poweredOff,1,4,1,1,54,Microsoft Windows Server 2012 (64-bit)
sqgs-dac01,poweredOn,2,2,1,1,"4,610",Red Hat Enterprise Linux 7 (64-bit)
sqgs-dc01,poweredOff,1,4,1,1,54,
sqgs-dc01-template,poweredOff,1,4,1,1,54,Microsoft Windows Server 2016 (64-bit)
sqgs-dc02,poweredOn,1,4,1,1,54,Microsoft Windows Server 2016 (64-bit)
sqgs-dc02-template,poweredOff,1,4,1,1,54,Microsoft Windows Server 2016 (64-bit)
